OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_17662	Low	2858	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia alba
OTU_17663	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17664	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17665	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17666	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17667	Low	1702228	Eukaryota		Oomycetes			Haptoglossa	Haptoglossa sp. DM2 4/12
OTU_17668	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17669	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17670	Low	147615	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea macrodactyla
OTU_17671	Low	655981	Eukaryota	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans
OTU_17672	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17673	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17674	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17675	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17676	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17677	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17678	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17679	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17680	Low	1803846	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavivirga	Flavivirga eckloniae
OTU_17681	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17682	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17684	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17685	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17686	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17687	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17688	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17689	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17690	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17691	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17692	Low	239731	Eukaryota				Hartmannellidae	Hartmannella	Hartmannella cantabrigiensis
OTU_17694	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17695	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17696	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17697	Low	38006	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria caledonica
