"","S1.T0","S1.T1","S1.T2","S1.T3","S1.T4","S1.T5","S1.T6","S1.T7","S1.T8","S1.T9","S2.T0","S2.T1","S2.T2","S2.T3","S2.T4","S2.T5","S2.T6","S2.T7","S2.T8","S2.T9","S3.T0","S3.T1","S3.T2","S3.T3","S3.T4","S3.T5","S3.T6","S3.T7","S3.T8","S3.T9","S4.T0","S4.T1","S4.T2","S4.T3","S4.T4","S4.T5","S4.T6","S4.T7","S4.T8","S4.T9","S5.T0","S5.T1","S5.T2","S5.T3","S5.T4","S5.T5","S5.T6","S5.T7","S5.T8","S5.T9","S6.T0","S6.T1","S6.T2","S6.T3","S6.T4","S6.T5","S6.T6","S6.T7","S6.T8","S6.T9","S7.T0","S7.T1","S7.T2","S7.T3","S7.T4","S7.T5","S7.T6","S7.T7","S7.T8","S7.T9","S8.T0","S8.T1","S8.T2","S8.T4","S8.T5","S8.T6","S8.T7","S8.T8","S8.T9","C1","C2","C3","C4","C5","C6","C7","C8","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"OTU_25557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_25558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"OTU_25558","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25559","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2556",0,0,0,25,5,0,0,0,0,0,30,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,8,12,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,"OTU_2556","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"OTU_25560","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25561","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2557",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,5,0,0,0,2,5,6,7,0,2,0,0,0,43,0,0,0,0,0,5,8,5,"OTU_2557","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,6,5,7,4,2,0,0,0,0,0,0,36,4,4,0,0,0,0,0,0,7,4,4,0,0,0,0,0,2,0,0,0,0,31,10,15,15,"OTU_2558","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,0,3,0,0,0,0,0,0,5,66,9,0,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,25,22,12,"OTU_2559","Low","1841648","Eukaryota","","Chrysophyceae","Chromulinales","Chromulinaceae","Pedospumella","Pedospumella sinomuralis"
"OTU_2562",7,3,2,3,9,3,0,0,0,0,3,3,3,5,8,10,0,0,0,0,4,9,0,2,18,0,0,0,0,0,6,13,0,8,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,2,0,6,4,0,0,0,0,0,0,0,13,4,0,0,4,3,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"OTU_2562","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2563",5,8,0,0,0,4,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,11,0,9,0,0,0,0,0,45,0,0,25,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,"OTU_2563","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"OTU_25630","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25631","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"OTU_25632","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25633","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"OTU_25634","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"OTU_25635","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25636","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2564",5,3,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,5,6,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,63,8,5,0,0,0,0,0,0,6,8,10,0,4,0,0,0,0,0,0,0,0,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2565",0,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,40,24,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,6,8,9,12,"OTU_2565","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,13,8,2,0,0,0,0,0,16,5,33,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,29,9,"OTU_2568","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,4,10,88,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,"OTU_2569","Low","180228","Eukaryota","","","","Paramoebidae","Paramoeba","Paramoeba pemaquidensis"
"OTU_257",0,0,0,0,6,0,0,4,0,1693,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,74,1895,0,0,0,0,0,0,6,2,1357,138,0,0,0,0,0,0,0,31,40,0,0,0,0,0,0,4,15,18,0,0,0,0,0,0,0,0,10,0,0,14,0,0,0,3,5,29,37,0,19,0,0,0,0,0,0,0,0,"OTU_257","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,21,3,8,21,17,17,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,26,11,"OTU_2570","Low","335992","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter ubique"
"OTU_25714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"OTU_25714","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25715","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"OTU_25716","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2572",29,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,27,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2573",4,9,0,2,6,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,6,14,5,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,30,18,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,3,5,6,0,"OTU_2573","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,75,9,0,0,0,0,0,0,0,0,9,19,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,20,31,16,"OTU_2574","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25765","Low","645324","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia","Apolemia sp. BO-2009"
"OTU_25766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_25767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25767","Low","290618","Eukaryota","Ascomycota","Leotiomycetes","","","Leohumicola","Leohumicola minima"
"OTU_25776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25776","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25777","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2578",19,0,8,13,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,8,0,10,6,5,0,0,0,0,6,0,12,11,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_2578","Low","2856","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"OTU_2579",0,16,0,0,0,18,0,0,0,0,18,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,8,0,0,0,0,0,0,0,0,9,44,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,106,83,97,278,253,758,675,114,23,103,67,732,88,45,38,42,17,44,21,12,298,137,68,256,124,356,581,79,29,26,33,39,17,29,31,21,3,36,0,0,0,0,166,213,196,102,"OTU_258","Low","1535362","Eukaryota","","Phaeophyceae","Ectocarpales","Ectocarpaceae","Ectocarpus","Ectocarpus sp. 6 AP-2014"
"OTU_2580",0,0,0,12,0,0,0,0,0,0,0,8,3,16,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,16,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,8,0,0,0,0,0,16,0,7,6,0,0,0,5,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,"OTU_2580","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_2581","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,124,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_2582","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,87,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_2584","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2587",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,16,25,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,7,0,0,0,0,19,7,14,6,"OTU_2587","Low","65659","Eukaryota","","","Longamoebia","Acanthamoebidae","Acanthamoeba","Acanthamoeba comandoni"
"OTU_2588",0,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,6,5,0,0,94,3,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,6,"OTU_2588","Low","661990","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Eucheilota","Eucheilota maculata"
"OTU_25880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25880","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25881","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"OTU_25882","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"OTU_25883","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"OTU_25885","High","224472","Eukaryota","Arthropoda","Malacostraca","Amphipoda","Talitridae","Orchestia","Orchestia gammarellus"
"OTU_25886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_25886","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_25887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"OTU_25887","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,8,24,65,"OTU_2589","High-MH","None","Eukaryota","Porifera","Demospongiae","Suberitida","Suberitidae","Suberites",NA
"OTU_259",20,15,0,29,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,17,7,10,18,17,0,0,0,0,14,18,0,16,0,13,5,0,0,0,202,151,132,156,83,48,7,21,0,0,125,138,1034,105,92,46,15,9,0,0,23,833,144,134,54,31,0,0,8,0,116,152,195,79,99,28,22,6,20,0,0,0,0,129,214,226,143,"OTU_259","Low","265543","Eukaryota","Bacillariophyta","Mediophyceae","Cymatosirales","Cymatosiraceae","Minutocellus","Minutocellus polymorphus"
"OTU_2590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,18,0,0,0,0,0,0,0,0,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,28,0,0,14,0,0,0,0,0,0,0,0,"OTU_2590","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,17,19,0,11,0,0,0,0,0,7,40,0,0,0,0,0,0,0,0,"OTU_2591","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,11,0,3,0,0,0,0,0,0,0,24,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,33,30,"OTU_2592","Low","233186","Eukaryota","Cryptophyta","","Cryptomonadales","Cryptomonadaceae","Cryptomonas","Cryptomonas curvata"
"OTU_2593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,3,0,0,0,0,5,31,0,5,0,0,0,0,0,0,41,11,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,22,22,7,15,"OTU_2593","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_2594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,0,0,11,36,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,19,20,9,2,10,6,0,0,0,0,6,8,15,5,"OTU_2594","Low","115421","Eukaryota","","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium ultimum"
"OTU_2595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,11,48,4,0,0,0,0,0,0,0,33,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,18,19,15,"OTU_2595","None","None",NA,NA,NA,NA,NA,NA,NA
